Island,Site,Habitat,Density,Date,Sex,Mass,SVL,HeadWidth,HeadDepth,HeadLength,FemurLength,TibiaLength,BicepLength,ForearmLength,CEWLbt,CEWL,msmt_temp_C,msmt_RH_percent,msmt_e_a_kPa,msmt_VPD_kPa,ambient_percent_rh,ambient_temp,percent_veg_cover
Naxos,Moni,wall,22,2023.05.22,M,10.2,71.18,10.16,8.43,17.84,14.52,12.3,7.46,7.52,28.5,16.205,27.9,42.7,1.604017309,2.152463508,69.4,24.1,4
Naxos,Moni,wall,22,2023.05.22,M,7.7,64.1,10.55,8.39,16.19,13.63,10.71,7.29,7.67,27.9,20.402,28.14,43.5,1.657088947,2.152310931,61.4,24.5,24
Naxos,Moni,wall,22,2023.05.22,M,8,68.23,10.04,8.19,16.29,14.46,11.17,7.23,7.18,30.8,20.6275,28.025,42.8,1.619535834,2.164426395,55.6,24.2,9
Naxos,Moni,wall,22,2023.05.31,M,6.2,61.11,7.51,6.98,14.62,11.9,10.11,6.62,6.92,,,,,,,55.9,24.7,40
Naxos,Monitsia,wall,19,2023.05.26,F,6.2,64.1,7.12,5.9,14.15,12.7,9.08,5.6,6.69,,,,,,,54.6,23.8,11
Naxos,Monitsia,wall,19,2023.05.26,F,4.1,57.57,5.98,4.03,10.97,10.41,8.51,6.13,6.35,,,,,,,56.8,23.1,8
Naxos,Monitsia,wall,19,2023.05.26,F,5.2,58.99,6.84,4.24,13.85,11.33,7.86,6.63,5.97,,,,,,,60.2,24.5,5
Naxos,Monitsia,wall,19,2023.05.26,F,7.1,67.04,7.67,6.86,13.8,11.74,8.88,6.32,6.97,,,,,,,59.7,22.6,15
Naxos,Monitsia,wall,19,2023.05.26,F,3.6,61.67,7.05,4.38,13.34,12,8.15,5.29,4.95,,,,,,,59,25.4,23
Naxos,Monitsia,wall,19,2023.05.26,M,4.5,54.18,7.43,5.17,14.51,11.13,10.02,5.98,7.06,29,NA,NA,NA,NA,NA,54.7,25.1,26
Naxos,Monitsia,wall,19,2023.05.26,M,5.3,56.19,8.13,5.04,13.65,11.92,9.64,6.2,5.96,,,,,,,56.3,23.6,0
Naxos,Monitsia,wall,19,2023.05.26,M,3.4,47.79,6.66,5.32,11.94,10.14,7.58,5.88,5.46,,,,,,,55,24.5,23
Naxos,Monitsia,wall,19,2023.05.26,M,3.9,52.99,7.06,3.77,12.82,10.41,7.57,5.15,6.52,,,,,,,62.6,28.3,16
Naxos,Monitsia,wall,19,2023.05.26,M,6.8,60.88,8.29,7.32,15.46,12.29,9.97,7.35,7.36,,,,,,,60.4,25.8,41
Naxos,Monitsia,wall,19,2023.05.26,M,6.8,59.17,8.37,6.9,15.07,11.86,10.85,6.48,7.55,,,,,,,61.2,25.2,5
Naxos,Monitsia,wall,19,2023.05.26,M,7.2,62.8,8.46,6.88,16.61,12.72,10.13,5.8,7.71,,,,,,,58.8,24.6,10
Naxos,Monitsia,wall,19,2023.05.26,M,6.7,64.88,8.65,7.05,15.28,12.13,10.46,6.89,8.08,,,,,,,57.4,27.5,24
Naxos,Monitsia,wall,19,2023.05.26,M,7.4,65.36,9.03,6.75,16.6,12.25,11.48,7.43,8.29,,,,,,,59.9,26.4,17
Naxos,Monitsia,wall,19,2023.05.26,M,6.7,68.03,8.89,6.88,15.95,16.25,10.61,7.77,8.23,,,,,,,60,27.2,42
Naxos,Monitsia,wall,19,2023.05.26,M,6,64.74,9.38,6.62,15.12,13.56,9.97,6.32,7.35,28.2,NA,NA,NA,NA,NA,60.4,26.5,0
Naxos,Monitsia,wall,19,2023.05.26,M,7.2,64.81,9.81,6.44,16.21,13.2,9.61,7.38,8.47,,,,,,,62.9,27.3,28
Naxos,Monitsia,wall,19,2023.05.26,M,7.6,67.99,9.01,6.01,16.66,14.04,11,7.07,7.85,,,,,,,57.1,27,13
Naxos,Monitsia,wall,19,2023.05.26,M,6.2,61.32,7.78,6.52,15.75,14.09,10,7.09,7.9,,,,,,,57.5,25.6,22
Naxos,Monitsia,wall,19,2023.05.26,M,7.1,69.09,8.84,7.64,15.69,14.95,10.33,7.01,7.51,,,,,,,56.7,25.1,36
Naxos,Monitsia,wall,19,2023.05.26,M,5.3,63.11,7.11,5.66,14.89,12.48,10.34,6.31,7.16,,,,,,,61.2,25.7,29
Naxos,Monitsia,wall,19,2023.05.26,M,6.4,63.69,8.15,3.98,15.41,14.18,9.77,6.63,7.63,29.5,NA,NA,NA,NA,NA,59.4,24.9,17
Naxos,Monitsia,wall,19,2023.05.26,M,4.7,57.16,7.67,5.48,13.94,12.78,9.27,5.51,7.76,,,,,,,59.9,25.4,0
Naxos,Monitsia,wall,19,2023.05.26,M,6.3,65.32,8.79,6.67,15.44,13.82,10.5,6.86,7,,,,,,,57.8,25.1,22
Naxos,Monitsia,wall,19,2023.05.26,M,6.8,67.07,7.28,5.77,15.39,13.28,10.01,5.89,7.82,28.4,NA,NA,NA,NA,NA,61.2,25.5,47
Naxos,Monitsia,wall,19,2023.05.26,M,5.9,61.77,8.72,7.13,15.49,13.67,10.87,6.86,7.72,,,,,,,56.9,25,24
Naxos,Monitsia,wall,19,2023.06.01,M,6.5,60.53,10.21,5.55,13.12,14.09,9.01,5.83,5.8,29.8,22.358,29.38,43.62,1.785500153,2.307806021,67.2,23.5,9
Naxos,Monitsia,wall,19,2023.06.01,M,8.8,66.22,10.88,6.92,13.56,14.52,8.77,6.02,5.68,29.3,22.886,29.44,45.3,1.860697195,2.246802131,65.8,23.8,26
Naxos,Monitsia,wall,19,2023.06.01,M,8.5,66.24,9.33,8.31,16.34,14.6,9.24,5.77,5.41,29.6,17.66666667,29.56666667,43.16666667,1.786065557,2.35153805,64.3,24.1,19
Naxos,Monitsia,wall,19,2023.06.01,M,8.5,70.4,8.85,7.69,15.71,15.75,10.3,7.04,6.82,29.4,17.01333333,29.16666667,43.7,1.766872852,2.276314453,62.1,23.9,38
Naxos,Monitsia,wall,19,2023.06.01,M,7.3,63.94,10.52,6.92,14.25,14.29,9.66,5.69,5.55,27.7,21.59666667,28.6,47.4,1.854595328,2.058053043,58.2,24.3,0
Naxos,Monitsia,wall,19,2023.06.01,M,7.3,65.34,9.23,8.67,16.45,15.02,10.22,6.21,6.14,28.2,19.682,29.16,45.3,1.830858277,2.210771473,59.7,24.1,24
Naxos,Monitsia,wall,19,2023.06.01,M,7.3,64.62,9.94,8.1,16.32,14.61,9.89,6.19,6.06,28.4,19.9175,29.35,43.675,1.78465905,2.301566594,64.4,24,15
Naxos,Monitsia,wall,19,2023.06.01,M,7.4,66.91,9.01,6.01,16.66,14.77,10.32,6.35,6.12,28.1,21.148,29.46,42.74,1.757571334,2.354668567,61.1,24,0
Naxos,Monitsia,wall,19,2023.06.01,M,8.5,67.98,9.35,8.92,17.03,15.51,9.12,5.82,5.79,28.8,20.266,29,45.66,1.828411349,2.175993708,58.9,24.5,0
Naxos,Monitsia,wall,19,2023.06.01,M,7.5,63.98,9.69,6.11,15.36,14.93,10.21,6.3,6.22,29,20.472,28.82,47.94,1.899807043,2.063077903,60.5,24.3,14
Naxos,Monitsia,wall,19,2023.06.01,M,9,68.69,8.85,7.72,15.08,14.74,11.04,6.16,6.09,29.1,19.278,29.34,45.42,1.854892774,2.228975068,61.3,26.9,7
Naxos,Monitsia,wall,19,2023.05.26,M,4.3,55.97,7.69,6.98,13.47,10.02,8.13,5.25,5.86,,,,,,,60,25.3,22
Naxos,Monitsia,wall,19,2023.05.26,M,6.1,61.82,9.83,5.71,15.4,12.84,9.24,6.85,7.42,,,,,,,57.9,24.8,0
Naxos,Monitsia,wall,19,2023.05.26,M,5.6,57.85,8.64,4.49,14.63,11.57,9.58,6.64,7.21,,,,,,,56.6,26.2,51
Naxos,Panermos,nonwall,6,2023.06.11,F,6.4,60.08,8.11,5.91,13.66,11.45,9.41,5.8,5.81,27.6,17.35555556,28.14444444,45.33333333,1.727374969,2.083010992,49.2,26.9,49
Naxos,Panermos,nonwall,6,2023.06.11,F,3.2,53.96,6.44,5.23,11.67,8.76,8,6.1,5.49,28.7,18.9325,28.6,45.425,1.777320523,2.135327849,48.9,26.3,24
Naxos,Panermos,nonwall,6,2023.06.11,F,5.4,63.14,7.1,6.07,12.96,12.16,8.38,5.66,6.02,29.1,18.96111111,29.15555556,44.53333333,1.799410158,2.241181514,41.5,25.9,72
Naxos,Panermos,nonwall,6,2023.06.11,F,5.6,64.53,7.05,6.41,13.63,11.82,9.61,6.49,5.91,28.5,17.86,27.7,52.72,1.957426494,1.755446218,46.1,25.8,48
Naxos,Panermos,nonwall,6,2023.06.11,F,6.1,60.42,7.79,5.87,13.23,12.28,8.8,5.86,5.82,28.9,20.092,28.74,47.54,1.875240212,2.06931219,44,26,55
Naxos,Panermos,nonwall,6,2023.06.11,F,4.9,62.39,7.4,6.59,13.35,10.13,9.48,5.66,5.65,29.2,16.69875,28.9,48.5875,1.934410127,2.046881619,39.7,26.2,37
Naxos,Panermos,nonwall,6,2023.06.11,M,7.5,65.4,8.48,7.6,15.86,14.33,11.34,6.87,6.88,28.1,17.92222222,27.88888889,48.91111111,1.836145842,1.917900632,39.9,25.7,9
Naxos,Panermos,nonwall,6,2023.06.11,M,7.1,61.25,8.49,7.51,15.86,13.81,9.83,6.68,6.67,30.3,23.30555556,28.77777778,43.75555556,1.729744709,2.22345549,40.5,27.4,22
Naxos,Panermos,nonwall,6,2023.06.11,M,6.8,64.73,8.56,7.2,16.46,16.01,11.13,6.5,6.48,28.8,18.06222222,28.82222222,46.73333333,1.85222671,2.111168532,40.2,28.6,47
Naxos,Panermos,nonwall,6,2023.06.11,M,7,62.65,8.72,7.62,15.87,14.56,10.8,7.04,6.69,29.1,17.632,29.19,43.96,1.779783405,2.268859463,41.4,25.6,30
Naxos,Panermos,nonwall,6,2023.06.11,M,6,59.29,8.61,6.65,14.67,13.71,11.31,6.42,6.43,,,,,,,41.1,28,55
Naxos,Panermos,nonwall,6,2023.06.11,M,6.5,61.24,9.26,6.86,15.03,12.34,10.74,6.5,7.25,28.9,17.02,28.55,46.975,1.832639782,2.068668961,40.8,26.3,100
Naxos,Panermos,nonwall,6,2023.06.11,M,7.3,62.66,9.24,7.18,15.48,13.15,10.57,6.71,6.66,,,,,,,42.7,28.2,72
Naxos,Panermos,nonwall,6,2023.06.11,M,7.4,60.09,9.61,7.99,15.58,13.17,10.47,6.97,6.99,29,18.374,29.12,45.92,1.85163005,2.180665355,43.2,27.1,10
Naxos,Panermos,nonwall,6,2023.06.11,M,4.8,53.27,7.64,7.09,14.45,12.55,9.44,6.55,6.38,29.3,17.424,29.24,46.3,1.879944354,2.180410622,42.9,27.5,45
Naxos,Zas,nonwall,19,2023.06.03,F,5,57.33,7.85,5.72,13.76,12.55,8.82,5.95,6.47,,,,,,,42.3,24.1,38
Naxos,Zas,nonwall,19,2023.06.03,M,7.1,69.37,9.13,6.8,15.77,15.47,10.58,7.37,9.11,,,,,,,42.2,26.5,30
Naxos,Zas,nonwall,19,2023.06.03,M,8.5,70.75,8.9,7.7,17.04,14.73,11.09,7.42,8.46,,,,,,,45.3,22.4,25
Naxos,Zas,nonwall,19,2023.06.03,M,6.2,65.48,8.31,6.49,15.54,13.96,10.57,7.26,8.12,,,,,,,41.4,27.4,70
Naxos,Zas,nonwall,19,2023.06.03,M,7.6,69.91,8.82,6.83,17.21,15.15,10.96,7.47,8.85,,,,,,,47.4,22.6,56
Naxos,Zas,nonwall,19,2023.06.03,M,7.2,67.42,9.1,7.43,16.54,16.2,10.6,6.36,7.72,,,,,,,42,25.6,21
Naxos,Zas,nonwall,19,2023.06.03,M,8.1,70.37,9.04,7.53,16.78,15.93,11.41,7.58,8.05,,,,,,,41.9,24.9,90
Naxos,Zas,nonwall,19,2023.06.03,M,8,70.15,9.08,6.44,16.46,14.32,10.59,7.11,7.74,,,,,,,46.3,23.8,52
Naxos,Zas,nonwall,19,2023.06.03,M,7.3,67.27,8.78,6.1,15.6,14.49,11.17,7.19,8.87,,,,,,,42.5,26.2,30
Naxos,Zas,nonwall,19,2023.06.03,M,7.9,68.69,9.26,5.16,16.51,14.82,10.38,6.91,8.19,,,,,,,42.4,25.3,94
Naxos,Zas,nonwall,19,2023.06.03,M,9.2,68.24,10.24,7.91,16.54,16.12,11.18,7.09,9.05,,,,,,,44.9,25.5,28
Naxos,Zas,nonwall,19,2023.06.03,M,8,67.74,8.05,5.28,16.23,14.49,10.59,6.95,8.01,,,,,,,48.5,26,58
Naxos,Zas,nonwall,19,2023.06.03,M,7,68.05,8.1,5.38,16.33,14.11,11.04,6.64,8.31,,,,,,,50.2,25.1,41
Naxos,Zas,nonwall,19,2023.06.03,M,5.6,62.26,8.24,6.45,14.44,13.81,9.97,6.52,7.91,,,,,,,41.6,26.4,36
Naxos,Zas,nonwall,19,2023.06.03,M,8.7,68.53,8.21,5.96,16.98,15.84,11.39,7.04,8.62,,,,,,,43.5,25.7,73
Naxos,Zas,nonwall,19,2023.06.03,M,8.2,69.02,8.94,7.46,16.78,15.03,11.24,6.23,7.51,,,,,,,47.9,25.7,82
Naxos,Zas,nonwall,19,2023.06.03,M,5.5,60.12,7.61,6.19,14.05,13.45,9.79,5.94,7.07,,,,,,,42.2,24.7,44
Naxos,Zas,nonwall,19,2023.06.03,M,6.5,65.84,8.37,6.08,15.75,14.59,10.65,7.2,7.57,,,,,,,40.2,25.3,36
Naxos,Zas,nonwall,19,2023.06.03,M,6.2,61.81,8.62,6.38,14.99,13.23,10.27,6.32,6.44,,,,,,,42.7,24.2,55
Naxos,Zas,nonwall,19,2023.06.03,M,8,68.52,8.55,6.69,16.65,14.28,11.42,6.79,7.65,,,,,,,43.5,26.3,50
Naxos,Zas,nonwall,19,2023.06.03,M,7.9,67,9.28,6.66,16.24,15.52,11.34,6.32,8.17,,,,,,,49.8,25,22
Naxos,Zas,nonwall,19,2023.06.03,M,9.2,73.2,10.04,5.47,17.1,15.99,11.35,7.73,8.5,,,,,,,44.7,25.6,34
Naxos,Zas,nonwall,19,2023.06.03,M,7.9,68.78,9.61,5.75,16.42,15.07,11.4,7.7,7.92,,,,,,,40.9,25.2,85
Naxos,Zas,nonwall,19,2023.06.03,M,8.2,69.89,8.13,5.08,16.11,15.28,10.52,6.37,8.64,,,,,,,50.3,27.5,52
Naxos,Zas,nonwall,19,2023.06.03,M,5.9,65.72,9.44,6.27,15.96,14.68,10.36,6.31,7.18,,,,,,,41,26.4,69
Naxos,Zas,nonwall,19,2023.06.03,M,8.9,67.2,10.1,6.9,17.05,14.85,10.81,7.55,8.11,,,,,,,44.1,24.8,47
Naxos,Zas,nonwall,19,2023.06.03,M,4.7,60.56,8.47,6.63,13.76,14.62,9.1,6.17,7.82,,,,,,,47.4,27.2,79
